"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CaraKorte: ""Why are you so close to each other!?""

Here's a look at what it's been like in Burlington, VT covering Sen. @BernieSanders…",FALSE,0,NA,2020-03-26 04:10:45,FALSE,NA,"1243027586323812353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dismas25Revolts",1182,TRUE,FALSE,NA,NA
"2","RT @HaidaPrincess: O 🇨🇦#Canada 👇🏿 Eh. #coronavirus #COVID19 @BernieSanders @SpeakerPelosi @AOC @realDonaldTrump @POTUS @stevenmnuchin1 @Lin…",FALSE,0,NA,2020-03-26 04:10:43,FALSE,NA,"1243027576408420358",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZwitterelfZana",1,TRUE,FALSE,NA,NA
"3","RT @CaraKorte: ""Why are you so close to each other!?""

Here's a look at what it's been like in Burlington, VT covering Sen. @BernieSanders…",FALSE,0,NA,2020-03-26 04:10:25,FALSE,NA,"1243027503272185856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","j___o__h_n",1182,TRUE,FALSE,NA,NA
"4","#BernieSanders  #Stimulus #COVID19 https://t.co/Z6TcxzLDrn",FALSE,0,NA,2020-03-26 04:09:40,FALSE,NA,"1243027312976642048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heykim",0,FALSE,FALSE,NA,NA
"5","RT @CaraKorte: ""Why are you so close to each other!?""

Here's a look at what it's been like in Burlington, VT covering Sen. @BernieSanders…",FALSE,0,NA,2020-03-26 04:09:00,FALSE,NA,"1243027147700174848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Organique",1182,TRUE,FALSE,NA,NA
"6","RT @RLEspinal: Don’t get in between @BernieSanders and relief for workers hit by the #COVID19 crisis. https://t.co/hBOZqdvBDo",FALSE,0,NA,2020-03-26 04:09:00,FALSE,NA,"1243027146253058048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BernieEvents",1,TRUE,FALSE,NA,NA
"7","O 🇨🇦#Canada 👇🏿 Eh. #coronavirus #COVID19 @BernieSanders @SpeakerPelosi @AOC @realDonaldTrump @POTUS @stevenmnuchin1… https://t.co/rHNexAdwGE",FALSE,0,NA,2020-03-26 04:08:52,TRUE,NA,"1243027113789153280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HaidaPrincess",1,FALSE,FALSE,NA,NA
"8","@BernieSanders @SenSanders Do not vote for this biggest transfer of wealth in US history #stopTheBill I’m disgusted… https://t.co/04CE1sGGhC",FALSE,0,"BernieSanders",2020-03-26 04:08:15,TRUE,NA,"1243026957538750464","216776631","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Twitlertwit",0,FALSE,FALSE,NA,NA
"9","Elmhurst hospital in Queens does not have enough supplies and #PPE for #Covid19. 400 patients are coming through th… https://t.co/QBXcUvOXeg",FALSE,2,NA,2020-03-26 04:07:27,TRUE,NA,"1243026755297751040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","katie_ferrari",0,FALSE,FALSE,NA,NA
"10","RT @aaplog: What's outrageous is politicians like you telling doctors like us how to do our job. 
https://t.co/568CDgqLLE",FALSE,0,NA,2020-03-26 04:06:35,FALSE,NA,"1243026539018665986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kab_twin1",1,TRUE,FALSE,NA,NA
