"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @People4Bernie: This is why @BernieSanders should be President of the United States: 

""If [Sasse/Graham/Scott's amendment] does go far…",FALSE,0,NA,2020-03-26 04:11:26,FALSE,NA,"1243027759367991297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OneMoreD8",307,TRUE,FALSE,NA,NA
"2","RT @JENFL23: @ninaturner @BernieSanders We should be so lucky to have him as our president @ninaturner. #NotMeUs",FALSE,0,NA,2020-03-26 04:10:44,FALSE,NA,"1243027581986689024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lala_la333",10,TRUE,FALSE,NA,NA
"3","RT @shipman96: #BernieSanders IS The President #ForThePeople!
#BernieIsOurFDR 
#PresidentBernieSanders (.)",FALSE,0,NA,2020-03-26 04:10:31,FALSE,NA,"1243027526076809216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Limamoro42",5,TRUE,FALSE,NA,NA
"4","RT @People4Bernie: This is why @BernieSanders should be President of the United States: 

""If [Sasse/Graham/Scott's amendment] does go far…",FALSE,0,NA,2020-03-26 04:10:24,FALSE,NA,"1243027496318230529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BuniculaTv",307,TRUE,FALSE,NA,NA
"5","@LindseyGrahamSC @BernieSanders Bernie this is why you didn’t get any votes and you’ll never be president because you’re useless",FALSE,0,"LindseyGrahamSC",2020-03-26 04:09:58,FALSE,"1242907298605006848","1243027388981796865","432895323","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SheilaMorman",0,FALSE,FALSE,NA,NA
"6","RT @People4Bernie: This is why @BernieSanders should be President of the United States: 

""If [Sasse/Graham/Scott's amendment] does go far…",FALSE,0,NA,2020-03-26 04:09:35,FALSE,NA,"1243027293674434560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janieo",307,TRUE,FALSE,NA,NA
"7","RT @People4Bernie: This is why @BernieSanders should be President of the United States: 

""If [Sasse/Graham/Scott's amendment] does go far…",FALSE,0,NA,2020-03-26 04:08:58,FALSE,NA,"1243027138921418754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","conceptjournal",307,TRUE,FALSE,NA,NA
"8","RT @People4Bernie: ""You know you got a President who is arrogant who is ignorant, who is self centered, and to me, I mean this is as danger…",FALSE,0,NA,2020-03-26 04:08:51,FALSE,NA,"1243027105790779394",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LA_Crystal",224,TRUE,FALSE,NA,NA
"9","RT @i_am_joli_anne: @TravisFWelch @People4Bernie @BernieSanders I, as well, strongly feel that that man should be President of the United S…",FALSE,0,NA,2020-03-26 04:08:11,FALSE,NA,"1243026941801713671",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WDavid89630262",1,TRUE,FALSE,NA,NA
"10","RT @TravisFWelch: @People4Bernie @BernieSanders I personally feel that that man should be President of the United States.",FALSE,0,NA,2020-03-26 04:08:07,FALSE,NA,"1243026922445000704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WDavid89630262",2,TRUE,FALSE,NA,NA
