"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 10:13:55,FALSE,NA,"1242394205454032897",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","heighway_kelly",906,TRUE,FALSE,NA,NA
"2","@carlysimonsays @BernieSanders Don’t try to twist what I mean and make it into something it’s not! Your moral high… https://t.co/9MzvgVyR1a",FALSE,0,"carlysimonsays",2020-03-24 10:12:44,TRUE,"1242379415624900608","1242393906723139584","1153881858226020357","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nocturne20C",0,FALSE,FALSE,NA,NA
"3","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 10:03:41,FALSE,NA,"1242391629539037184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Orwellian_RU",906,TRUE,FALSE,NA,NA
"4","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 10:00:40,FALSE,NA,"1242390868666904577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovefaithtruth",906,TRUE,FALSE,NA,NA
"5","RT @SpiralBlanton: @Qwarktastic2 @HeatherGautney @march4progress @BernieSanders Bernie has been working to beat Trump by providing a real a…",FALSE,0,NA,2020-03-24 09:54:37,FALSE,NA,"1242389345224421376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cwillott",1,TRUE,FALSE,NA,NA
"6","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 09:52:10,FALSE,NA,"1242388731794989057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SiviLukic",906,TRUE,FALSE,NA,NA
"7","RT @mplspat: @JohnC22172855 @march4progress @Qwarktastic2 @HeatherGautney @BernieSanders Sure buddy that's why the UN uses them to assess e…",FALSE,0,NA,2020-03-24 09:48:03,FALSE,NA,"1242387694799339520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cwillott",1,TRUE,FALSE,NA,NA
"8","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 09:47:40,FALSE,NA,"1242387597160255488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","100SARAH001",906,TRUE,FALSE,NA,NA
"9","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 09:45:24,FALSE,NA,"1242387028458831873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Final_Justicex5",906,TRUE,FALSE,NA,NA
"10","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 09:42:49,FALSE,NA,"1242386376798191622",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alexfalkenberg",906,TRUE,FALSE,NA,NA
