"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @2020_california: #Election2020 @BernieSanders needs to take a long nap #ItsoverBernie https://t.co/DqekoKWaNM",FALSE,0,NA,2020-03-26 03:52:39,FALSE,NA,"1243023029002743808",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"2","RT @Lysnos1: This is going to be out generation's ""don't ask what your country can do for you"" moment! @AOC @BernieSanders @People4Bernie #…",FALSE,0,NA,2020-03-26 03:52:29,FALSE,NA,"1243022990578724864",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"3","#Election2020 @BernieSanders needs to take a long nap #ItsoverBernie https://t.co/DqekoKWaNM",FALSE,0,NA,2020-03-26 03:51:54,FALSE,NA,"1243022840313417729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2020_california",1,FALSE,FALSE,NA,NA
"4","This is going to be out generation's ""don't ask what your country can do for you"" moment! @AOC @BernieSanders… https://t.co/Z9I6mMvlJU",FALSE,0,NA,2020-03-26 03:51:50,TRUE,NA,"1243022824077484033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lysnos1",1,FALSE,FALSE,NA,NA
"5","Has anyone polled a hypothetical (albeit extremely unlikely) 3-way race among Bernie Sanders, Joe Biden and Donald… https://t.co/M2k9HrhQDv",FALSE,1,NA,2020-03-26 03:26:34,TRUE,NA,"1243016468884643848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Howscib",0,FALSE,FALSE,NA,NA
"6","RT @JLJustme: #TrumpPressConf #COVID2019 #COVID19 #CoronavirusLockdown #Hannity #LauraIngraham #WalkAwayCampaign #FoxAndFriends #CNNTownHal…",FALSE,0,NA,2020-03-26 01:53:42,FALSE,NA,"1242993096943702019",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","slacktivist00",1,TRUE,FALSE,NA,NA
"7","#TrumpPressConf #COVID2019 #COVID19 #CoronavirusLockdown #Hannity #LauraIngraham #WalkAwayCampaign #FoxAndFriends… https://t.co/BaqYy0Qy2Q",FALSE,1,NA,2020-03-26 01:49:08,TRUE,NA,"1242991947687616514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JLJustme",1,FALSE,FALSE,NA,NA
"8","RT @LostDiva: @TheKdd @krystalball Bernie Sanders is fighting for #AllOfUs. It's his job, president or not. Joe Biden nor Trump don't under…",FALSE,0,NA,2020-03-26 00:53:52,FALSE,NA,"1242978039140478977",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TheKdd",1,TRUE,FALSE,NA,NA
"9","Guess who thinks if he's still running! #CrazyBernie #Bernie2020 #BernieSanders #Election2020 
Will he win from… https://t.co/qW6eOL46ou",FALSE,0,NA,2020-03-26 00:52:55,TRUE,NA,"1242977799306203137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WolframEmilio",0,FALSE,FALSE,NA,NA
"10","@TheKdd @krystalball Bernie Sanders is fighting for #AllOfUs. It's his job, president or not. Joe Biden nor Trump d… https://t.co/nibngW09qW",FALSE,4,"TheKdd",2020-03-26 00:48:27,TRUE,"1242973320594644992","1242976675165429761","22446854","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LostDiva",1,FALSE,FALSE,NA,NA
