"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Has anyone polled a hypothetical (albeit extremely unlikely) 3-way race among Bernie Sanders, Joe Biden and Donald… https://t.co/M2k9HrhQDv",FALSE,1,NA,2020-03-26 03:26:34,TRUE,NA,"1243016468884643848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Howscib",0,FALSE,FALSE,NA,NA
"2","@SpeakerPelosi You all + @JoeBiden will need to remind voters of this in November. The Democratic Party doesn’t do… https://t.co/wsadoXf4EX",FALSE,0,"SpeakerPelosi",2020-03-26 03:24:49,TRUE,"1243008062165856257","1243016027056848897","15764644","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emilyearndt",0,FALSE,FALSE,NA,NA
"3","RT @Bearjew_619: #JoeBiden #democrats #republicans #trump #DonaldTrump #maga #KeepAmericaGreat #Trump2020 #AmericaFirst #CrazyJoe #forgetfu…",FALSE,0,NA,2020-03-26 03:06:50,FALSE,NA,"1243011502652698630",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"4","#JoeBiden #democrats #republicans #trump #DonaldTrump #maga #KeepAmericaGreat #Trump2020 #AmericaFirst #CrazyJoe… https://t.co/oM3KoDUMBD",FALSE,0,NA,2020-03-26 02:59:42,TRUE,NA,"1243009706072784899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bearjew_619",1,FALSE,FALSE,NA,NA
"5","RT @sanosbo1: My New Dream Team @JoeBiden @KamalaHarris ✊🏽💋#Election2020  #resist #NeverTrump #Resistance https://t.co/S38PjHJIDn",FALSE,0,NA,2020-03-26 02:22:04,FALSE,NA,"1243000235489497088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","edmuch2003",287,TRUE,FALSE,NA,NA
"6","RT @genebernat: @JoeBiden I'd like to give you a chance to defend yourself. However, you've explained those who favor due process in sexual…",FALSE,0,NA,2020-03-26 02:04:14,FALSE,NA,"1242995746212851718",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Philosopher_Jay",2,TRUE,FALSE,NA,NA
"7","RT @JLJustme: #TrumpPressConf #COVID2019 #COVID19 #CoronavirusLockdown #Hannity #LauraIngraham #WalkAwayCampaign #FoxAndFriends #CNNTownHal…",FALSE,0,NA,2020-03-26 01:53:42,FALSE,NA,"1242993096943702019",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","slacktivist00",1,TRUE,FALSE,NA,NA
"8","I would hate (and I mean HATE) to ever admit @TuckerCarlson is right, but here we are...

@JoeBiden #Bernie2020… https://t.co/3uRRVtNe4C",FALSE,0,NA,2020-03-26 01:52:54,TRUE,NA,"1242992895378014217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CzechInAmerica",0,FALSE,FALSE,NA,NA
"9","#TrumpPressConf #COVID2019 #COVID19 #CoronavirusLockdown #Hannity #LauraIngraham #WalkAwayCampaign #FoxAndFriends… https://t.co/BaqYy0Qy2Q",FALSE,1,NA,2020-03-26 01:49:08,TRUE,NA,"1242991947687616514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JLJustme",1,FALSE,FALSE,NA,NA
"10","RT @WolframEmilio: A look at the #Election2020! 
@realDonaldTrump #Trump #Biden @JoeBiden https://t.co/qfWb0Pwneh",FALSE,0,NA,2020-03-26 01:22:40,FALSE,NA,"1242985284586934274",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"11","RT @genebernat: @JoeBiden I'd like to give you a chance to defend yourself. However, you've explained those who favor due process in sexual…",FALSE,0,NA,2020-03-26 01:18:13,FALSE,NA,"1242984168113537024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","genebernat",2,TRUE,FALSE,NA,NA
"12","@JoeBiden I'd like to give you a chance to defend yourself. However, you've explained those who favor due process i… https://t.co/TF83eJwayB",FALSE,1,"JoeBiden",2020-03-26 01:18:05,TRUE,NA,"1242984131077844993","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","genebernat",2,FALSE,FALSE,NA,NA
"13","A look at the #Election2020! 
@realDonaldTrump #Trump #Biden @JoeBiden https://t.co/qfWb0Pwneh",FALSE,0,NA,2020-03-26 01:10:19,FALSE,NA,"1242982179430453249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WolframEmilio",1,FALSE,FALSE,NA,NA
