"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Corona Effect: The US Could Potentially Lose 14 Million Jobs....
#coronavirus #covid19india #Corona #covıd19… https://t.co/HAgtCnYMlZ",FALSE,0,NA,2020-03-26 03:57:51,TRUE,NA,"1243024338678198272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beats_trending",0,FALSE,FALSE,NA,NA
"2","I’m not sure what is more historic: #Congress passing the trillion dollar #COVID19 #StimulusPlan or Congress gettin… https://t.co/a6fmtoXIZ8",FALSE,2,NA,2020-03-26 03:46:44,TRUE,NA,"1243021539974492160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SucceedWithReed",0,FALSE,FALSE,NA,NA
"3","🔺Je prédis un #hécatombe aux États-Unis!
 #NYC va rattraper l’Allemagne juste à elle !

#Coronavirus #Covid19
65650… https://t.co/C86hZKPZTm",FALSE,1,NA,2020-03-26 03:32:32,TRUE,NA,"1243017968776339456",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mesange04",0,FALSE,FALSE,NA,NA
"4","The year was 2020. @realDonaldTrump lied and people died. He was a lazy, racist fascist. His supporters formed the… https://t.co/PjjBjffVC9",FALSE,0,NA,2020-03-26 03:32:01,TRUE,NA,"1243017836672491520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheTrumpPlague",0,FALSE,FALSE,NA,NA
"5","કોરોના વાયરસઃ ન્યૂયોર્કમાં ટ્રકોને મડદાઘર બનાવવાની તૈયારી, ખડકાઈ શકે છે લાશોનો ઢગ #America #newyorklockdown… https://t.co/gyLB7UyaSJ",FALSE,8,NA,2020-03-26 03:30:34,TRUE,NA,"1243017474456424448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","News18Guj",0,FALSE,FALSE,NA,NA
"6","Does this affect anyone's lives? Why bother reporting on this? #DonaldTrump #MittRomney #COVID19 #Coronavirus https://t.co/Y8flE9640f",FALSE,0,NA,2020-03-26 03:26:20,FALSE,NA,"1243016410135232513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JoshGangbar",0,FALSE,FALSE,NA,NA
"7","RT @ThePerezHilton: When she called tests “testes” I started crying and thanked God for Cardi B! https://t.co/RnQmEjOR3m #Coronavirus #Covi…",FALSE,0,NA,2020-03-26 03:25:55,FALSE,NA,"1243016304338046977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","priestis",2,TRUE,FALSE,NA,NA
"8","ONLY TRUST WHO (WORLD HEALTH ORGANIZATION)!  NEVER TRUMP OR HIS CABINET!

#worldhealthorganization #donttrusttrump… https://t.co/Pila3OGpuf",FALSE,2,NA,2020-03-26 03:22:48,TRUE,NA,"1243015518954586112",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","J_2themax",1,FALSE,FALSE,NA,NA
"9","The #CoronaVirus originated from #China only, it may be sinister plan to devastate the World economy to assert Chin… https://t.co/lRVXfYq3Qc",FALSE,0,NA,2020-03-26 03:21:12,TRUE,NA,"1243015117177884672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rishikumar13",0,FALSE,FALSE,NA,NA
"10","🚨#Republicans!🚨

Maybe you'll die within next weeks!🆘🕯️🙏
Better if you write the thank-you card to your responsible… https://t.co/mW4tYK5U2r",FALSE,0,NA,2020-03-26 03:20:21,TRUE,NA,"1243014903247572992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hervorrager",0,FALSE,FALSE,NA,NA
"11","Note to #DonaldTrump! 'It ain't over 'til it's over!' Wise words from #YogiBerra for those who need #wisdom and dis… https://t.co/X5WJyy6jIZ",FALSE,0,NA,2020-03-26 03:10:05,TRUE,NA,"1243012318159568897",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RobynTBraley",0,FALSE,FALSE,NA,NA
