"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 10:13:55,FALSE,NA,"1242394205454032897",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","heighway_kelly",906,TRUE,FALSE,NA,NA
"2","RT @stmc112: We need voter IDENTIFICATION to keep this election fair. Trump must win Nov 2020 Re-election !https://t.co/RS0SbYqNHP",FALSE,0,NA,2020-03-24 10:13:54,FALSE,NA,"1242394200525754369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srrabon_",282,TRUE,FALSE,NA,NA
"3","RT @JStein_WaPo: BREAKING: Dr. Fauci is warning Trump officials NOT to listen to growing push among WH advisers, GOP lawmakers to restart t…",FALSE,0,NA,2020-03-24 10:13:54,FALSE,NA,"1242394198554431488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tomdrabowicz",13979,TRUE,FALSE,NA,NA
"4","RT @JoyAnnReid: Riddle me this: why does Steve Mnuchin need to have control of a $500 billion slush fund where no one knows who he makes lo…",FALSE,0,NA,2020-03-24 10:13:51,FALSE,NA,"1242394185988259843",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","washumom",3053,TRUE,FALSE,NA,NA
"5","When he faces Donald Trump in the general election, this record could seriously hinder his campaign… https://t.co/OHXz4OFEqO",FALSE,0,"redaction_news",2020-03-24 10:13:48,TRUE,"1242394172587466754","1242394174432980993","977822815649976320","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","redaction_news",0,FALSE,FALSE,NA,NA
"6","RT @thebradfordfile: ARE YOU FREAKING KIDDING?

Nancy Pelosi is trying to steal the presidential election. She wants guarantees against ""re…",FALSE,0,NA,2020-03-24 10:13:47,FALSE,NA,"1242394168925839360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","statefan1964",6109,TRUE,FALSE,NA,NA
"7","RT @thebradfordfile: ARE YOU FREAKING KIDDING?

Nancy Pelosi is trying to steal the presidential election. She wants guarantees against ""re…",FALSE,0,NA,2020-03-24 10:13:43,FALSE,NA,"1242394151989260288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wendell_sherry",6109,TRUE,FALSE,NA,NA
"8","RT @JoyAnnReid: Riddle me this: why does Steve Mnuchin need to have control of a $500 billion slush fund where no one knows who he makes lo…",FALSE,0,NA,2020-03-24 10:13:41,FALSE,NA,"1242394146687479808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aka12144",3053,TRUE,FALSE,NA,NA
"9","RT @Amy_Siskind: Dear Media,
You all gave Trump billions worth of free media in the lead up to the 2016 election - a major factor in his vi…",FALSE,0,NA,2020-03-24 10:13:36,FALSE,NA,"1242394123878924288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hasenourlv",1702,TRUE,FALSE,NA,NA
"10","RT @JoyAnnReid: Riddle me this: why does Steve Mnuchin need to have control of a $500 billion slush fund where no one knows who he makes lo…",FALSE,0,NA,2020-03-24 10:13:34,FALSE,NA,"1242394115439906816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DrewCormier",3053,TRUE,FALSE,NA,NA
