"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Has anyone polled a hypothetical (albeit extremely unlikely) 3-way race among Bernie Sanders, Joe Biden and Donald… https://t.co/M2k9HrhQDv",FALSE,1,NA,2020-03-26 03:26:34,TRUE,NA,"1243016468884643848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Howscib",0,FALSE,FALSE,NA,NA
"2","RT @Bearjew_619: #JoeBiden #democrats #republicans #trump #DonaldTrump #maga #KeepAmericaGreat #Trump2020 #AmericaFirst #CrazyJoe #forgetfu…",FALSE,0,NA,2020-03-26 03:06:50,FALSE,NA,"1243011502652698630",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"3","#JoeBiden #democrats #republicans #trump #DonaldTrump #maga #KeepAmericaGreat #Trump2020 #AmericaFirst #CrazyJoe… https://t.co/oM3KoDUMBD",FALSE,0,NA,2020-03-26 02:59:42,TRUE,NA,"1243009706072784899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bearjew_619",1,FALSE,FALSE,NA,NA
"4","RT @andThisAndThat: This is what the #USA has become under #DonaldTrump and the #RepublicanParty. 

The #USA is now talking about #euthaniz…",FALSE,0,NA,2020-03-26 01:45:53,FALSE,NA,"1242991130536443905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khabbaz41",2,TRUE,FALSE,NA,NA
"5","RT @andThisAndThat: @marcorubio Breached and left defenseless with poor #Republican government in the state of #Florida. 

#MarcoRubio stan…",FALSE,0,NA,2020-03-26 01:16:17,FALSE,NA,"1242983678667456512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KeithROlsen1",1,TRUE,FALSE,NA,NA
"6","RT @andThisAndThat: This is what the #USA has become under #DonaldTrump and the #RepublicanParty. 

The #USA is now talking about #euthaniz…",FALSE,0,NA,2020-03-26 00:40:18,FALSE,NA,"1242974622716493824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mitch61nm",2,TRUE,FALSE,NA,NA
"7","This is what the #USA has become under #DonaldTrump and the #RepublicanParty. 

The #USA is now talking about… https://t.co/dlia3fgQsr",FALSE,0,NA,2020-03-26 00:39:07,TRUE,NA,"1242974326728601601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andThisAndThat",2,FALSE,FALSE,NA,NA
"8","@marcorubio Breached and left defenseless with poor #Republican government in the state of #Florida. 

#MarcoRubio… https://t.co/xQVZVYJe8U",FALSE,0,"marcorubio",2020-03-26 00:01:17,TRUE,"1242784504764338178","1242964805805359105","15745368","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andThisAndThat",1,FALSE,FALSE,NA,NA
"9","A Fan Favorite: Dump The Dumb Trump! @RedBubble 
https://t.co/mKvqMoMQoe 

#trump #dumptrump #tees #tshirt #prints… https://t.co/dc2Oe8SNwv",FALSE,0,NA,2020-03-25 23:20:02,TRUE,NA,"1242954423195906059",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cine31",0,FALSE,FALSE,NA,NA
"10","#trump #trump2020 #republican #donaldtrump #sleepyjoe #KeepAmericaGreat #makeamericagreatagain #trumptrain… https://t.co/70RsBDt8fx",FALSE,0,"threewisemen777",2020-03-25 15:08:36,TRUE,"1242830398670778369","1242830752544260096","951451858983313410","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","threewisemen777",0,FALSE,FALSE,NA,NA
"11","#trump #trump2020 #republican #donaldtrump #sleepyjoe #KeepAmericaGreat #makeamericagreatagain #trumptrain… https://t.co/357U3PjRjb",FALSE,0,"threewisemen777",2020-03-25 15:08:15,TRUE,"1242830142600138753","1242830662324719616","951451858983313410","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","threewisemen777",0,FALSE,FALSE,NA,NA
"12","• • • • • #trump #trump2020 #republican #donaldtrump #sleepyjoe #KeepAmericaGreat #makeamericagreatagain… https://t.co/I4DeTyAsoO",FALSE,0,"threewisemen777",2020-03-25 14:58:49,TRUE,"1242825365388537858","1242828288344514561","951451858983313410","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","threewisemen777",0,FALSE,FALSE,NA,NA
"13","RT @cine31: Dump The Dumb Trump! @RedBubble 
https://t.co/mKvqMoMQoe 

#trump #dumptrump #tees #tshirt #DumpTrumpNow #dumptrump2020 #DumpTr…",FALSE,0,NA,2020-03-25 14:07:16,FALSE,NA,"1242815315999887360",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"14","Dump The Dumb Trump! @RedBubble 
https://t.co/mKvqMoMQoe 

#trump #dumptrump #tees #tshirt #DumpTrumpNow… https://t.co/9JSwQ7k911",FALSE,1,NA,2020-03-25 13:59:02,TRUE,NA,"1242813244802285569",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cine31",1,FALSE,FALSE,NA,NA
"15","RT @Mobhunter_1900: 'I am so happy I can barely speak': #Trump whacks #Romney after negative #coronavirus test https://t.co/fXSD081eLC #Don…",FALSE,0,NA,2020-03-25 13:52:21,FALSE,NA,"1242811563620384769",NA,"<a href=""http://sharkradionetwork.com/"" rel=""nofollow"">sharkradionet</a>","SharkRadioNet",1,TRUE,FALSE,NA,NA
"16","'I am so happy I can barely speak': #Trump whacks #Romney after negative #coronavirus test https://t.co/fXSD081eLC… https://t.co/E1DgByx7D9",FALSE,1,NA,2020-03-25 13:43:07,TRUE,NA,"1242809238856044545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mobhunter_1900",1,FALSE,FALSE,NA,NA
"17","RT @GamblersPick: Find Out Which Presidential Nominee Would be a Boon for Online Gambling https://t.co/1bZUCwe8ud #Election2020 #DonaldTrum…",FALSE,0,NA,2020-03-25 11:45:30,FALSE,NA,"1242779638633504768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GamblersPick",9,TRUE,FALSE,NA,NA
"18","RT @GamblersPick: Find Out Which Presidential Nominee Would be a Boon for Online Gambling https://t.co/1bZUCwe8ud #Election2020 #DonaldTrum…",FALSE,0,NA,2020-03-25 08:25:21,FALSE,NA,"1242729269920509957",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","orenarz",9,TRUE,FALSE,NA,NA
"19","Dump The Dumb Trump! 
https://t.co/F8HnIfAGKt

#trump #dumptrump #tees #tshirt #DumpTrumpNow #dumptrump2020… https://t.co/wyujC0TTmm",FALSE,0,NA,2020-03-25 06:13:01,TRUE,NA,"1242695969654951937",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cine31",0,FALSE,FALSE,NA,NA
